state,lga,ward,uid,facility_code,facility_name,reg_number,start_date,ownership,facility_level,longitude,latitude,operation_status,registration_status,license_status,created,last_updated
Abia,Aba North,Ariaria,48319756,01/01/1/1/2/0001,Aba Holy Wounds Hospital,,2003-10-05,Private,Secondary,7.34134,5.11445,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 09:46:23
Abia,Aba North,Umuola,47587317,01/01/1/1/2/0003,Alpha Inland Hospital,,1985-04-02,Private,Secondary,7.385681152,5.129272461,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-22 13:41:36
Abia,Aba North,Old GRA,38145837,01/01/1/1/2/0004,Angels of Mercy Hospital,,2010-12-10,Private,Secondary,7.354919433,5.124084473,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-26 14:52:35
Abia,Aba North,Old GRA,81463501,01/01/1/1/2/0006,Austin Graces Hospital,,1993-03-05,Private,Secondary,7.362670899,5.117126465,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-22 13:45:38
Abia,Aba North,Asaokpuaja,25705792,01/01/1/1/2/0007,Berma Hospital,,1986-05-08,Private,Secondary,7.348876953,5.107299805,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-27 16:59:38
Abia,Aba North,Ogbor 2,45827382,01/01/1/1/2/0009,Blessed heaven hospital,,2012-02-03,Private,Secondary,07.38119,05.12047,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 10:14:19
Abia,Aba North,Old GRA,69230910,01/01/1/1/2/0016,chinwendu clinic and maternity,,2009-03-05,Private,Secondary,7.3396,5.12943,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:02:47
Abia,Aba North,Ogbor 2,42040526,01/01/1/1/2/0020,Ebenma Hospital,,1983-12-06,Private,Secondary,7.384094238,5.11730957,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-22 13:46:15
Abia,Aba North,Unknown,66243577,01/01/1/2/2/0006,Eberechukwu Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Old GRA,85491400,01/01/1/1/2/0021,El-Asamen Hospital,,2000-06-01,Private,Secondary,7.358886719,5.120483398,Operational,Registered,Unknown,2018-01-01 01:01:01,2019-05-30 10:38:38
Abia,Aba North,Ogbor 2,70718241,01/01/1/1/2/0022,Ellion Hospital clinic,,2010-02-05,Private,Secondary,7.38138,5.12081,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:03:08
Abia,Aba North,Ariaria,26456575,01/01/1/1/2/0025,Euna Hospital,,2008-12-03,Private,Secondary,7.35312,5.12019,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 09:53:16
Abia,Aba North,Ogbor 1,77536737,01/01/1/2/2/0009,Gods Care Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Ariaria,73938255,01/01/1/1/2/0030,Goodness & Mercy hospital,,2009-02-06,Private,Secondary,7.34552002,5.115905762,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 10:05:48
Abia,Aba North,Ogbor 2,80918309,01/01/1/1/2/0032,Group Medical Practice/maternity,,1995-02-05,Private,Secondary,7.393676758,5.111694336,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-27 08:14:51
Abia,Aba North,Ogbor 1,66479648,01/01/1/1/2/0037,Impact Hospital,,2019-05-29,Private,Secondary,7.38946,5.11821,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 10:23:55
Abia,Aba North,Ogbor 1,37372783,01/01/1/1/2/0040,isaac okwuonu memorial hospital /maternity,,1989-01-10,Private,Secondary,7.392089844,5.11328125,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:04:47
Abia,Aba North,Ariaria,45969224,01/01/1/1/2/0041,Ivory Specialist Hospital Maternity,,1992-02-04,Private,Secondary,7.340881347,5.113891602,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-27 09:08:56
Abia,Aba North,Umuola,62411451,01/01/1/1/2/0042,Kahabiri Hospital,,2010-03-11,Private,Secondary,,,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:51:14
Abia,Aba North,Old GRA,72779055,01/01/1/2/2/0086,king well hospital and maternity,,2013-09-10,Private,Secondary,7.35807,5.12678,Operational,Registered,,2019-05-25 07:46:39,2019-05-30 12:59:08
Abia,Aba North,Unknown,37807246,01/01/1/2/2/0016,Mercy Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Ogbor 1,76956340,01/01/1/1/2/0052,Nissi Hospital,,2010-06-03,Private,Secondary,7.38187,5.12165,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-27 17:17:12
Abia,Aba North,Ariaria,61180169,01/01/1/1/2/0054,Nnadozie Hospital/ Maternity,,1984-08-08,Private,Secondary,7.358399034,5.118716955,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-17 12:30:09
Abia,Aba North,Unknown,27008708,01/01/1/2/2/0018,Nnenna Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Unknown,82069400,01/01/1/2/2/0019,Obioma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Old GRA,75493094,01/01/1/1/2/0059,Olive Hospital and maternity,,2007-05-03,Private,Secondary,7.35882,5.12063,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 13:12:44
Abia,Aba North,Umuola,42707211,01/01/1/2/2/0087,orienz specialist hospital,,2019-05-29,Private,Secondary,,,Operational,Registered,Licensed,2019-05-29 08:34:44,2019-05-30 13:30:37
Abia,Aba North,Unknown,79587067,01/01/1/2/2/0023,Presto Clinic,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba North,Umuola,44899462,01/01/1/1/2/0066,Pricess Mary Hospital,,2000-12-12,Private,Secondary,7.393750548,5.124102831,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:34:34
Abia,Aba North,Ogbor 2,65557962,01/01/1/2/2/0025,Reagents specialist hospital /maternity,,2000-02-02,Private,Secondary,7.23483,5.06762,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:35:00
Abia,Aba North,Ogbor 1,70987597,01/01/1/1/2/0085,Zikora h Hospital,,1994-07-12,Private,Secondary,7.389892578,5.114318848,Operational,Registered,Unknown,2018-01-01 01:01:01,2019-05-30 13:18:29
Abia,Aba South,Unknown,12628779,01/02/1/2/2/0001,Adc Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,44340214,01/02/1/2/2/0002,Adonis Christy Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,17727237,01/02/1/2/2/0004,All Saints Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,57547239,01/02/1/2/2/0006,Berma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Igwebuike,61741924,01/02/1/2/2/0008,Blessing Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,32163718,01/02/1/2/2/0010,Chief Ogumka Memorial Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Enyimba,31158757,01/02/1/1/2/0019,Chimdinma Greenlife Hospital,,2010-05-08,Private,Secondary,7.36380628,5.09619999,Operational,Unknown,Unknown,2018-01-01 01:01:01,2020-11-26 13:04:04
Abia,Aba South,Unknown,79067540,01/02/1/2/2/0013,Fazal Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,62096153,01/02/1/2/2/0014,Frank Agu Memorial Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,27128248,01/02/1/2/2/0015,Good Shepherd Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,85533064,01/02/1/2/2/0017,Helina Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,74830550,01/02/1/2/2/0018,Immaculate Heart Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,76949547,01/02/1/2/2/0019,Inland Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,51520922,01/02/1/2/2/0020,Jim Dora Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,57036103,01/02/1/2/2/0021,Jone Christ Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,62412682,01/02/1/2/2/0022,Jonex Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Eziukwu 2,83227504,01/02/1/1/1/0009,Lady Anasthasia Hospital,,2003-05-06,Private,Secondary,,,Operational,,Unknown,2018-01-01 01:01:01,2019-05-09 17:23:52
Abia,Aba South,Unknown,12444594,01/02/1/2/2/0023,Life Care Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,17002888,01/02/1/2/2/0024,Light Of God Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,33618651,01/02/1/2/2/0025,Marc Rose Hospital,,,Private,Secondary,7.3781,5.0876,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,60217055,01/02/1/2/2/0027,Martin Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,81805236,01/02/1/2/2/0028,Mary'S Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,36347286,01/02/1/2/2/0029,Mc Hospital,,,Private,Secondary,7.355285645,5.108276367,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Eziukwu 1,66315922,01/02/1/2/2/0030,Mendel Hospital And Diagnostic Centre,,,Private,Secondary,7.362121582,5.10772705,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Igwebuike,71271236,01/02/1/2/2/0031,Miracle Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Aba Town Hall,52507139,01/02/1/2/2/0032,Nazareth Hospital,,,Private,Secondary,7.37581,5.11095,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,15771758,01/02/1/2/2/0033,Ndukwe Memorial Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Aba River,85085979,01/02/1/2/2/0034,New Era Hospital,,,Private,Secondary,7.379272461,5.10772705,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,28429576,01/02/1/2/2/0035,Ngozika Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,31859662,01/02/1/2/2/0036,Nnamdi Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,59308075,01/02/1/2/2/0039,Obioma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,47742727,01/02/1/2/2/0041,Ohaeri Memorial Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,65855657,01/02/1/2/2/0042,Onyebuchi Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Ngwa 2,47254655,01/02/1/2/2/0043,Our Lady Of Sick Hospital,,,Private,Secondary,7.4321,5.1453,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,70993947,01/02/1/2/2/0044,Padora Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,52452965,01/02/1/2/2/0045,Perpetual Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,58941605,01/02/1/2/2/0046,Petra Hospital (Ngwa Ii),,,Private,Secondary,7.33001,5.06925,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,57710277,01/02/1/2/2/0047,Phoenix Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Iheorji,28281610,01/02/1/2/2/0048,Presbyterian Health Post,,,Private,Secondary,7.373901367,5.08227539,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,48195817,01/02/1/2/2/0049,Progress Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,64852986,01/02/1/2/2/0050,Ramas Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,24103838,01/02/1/2/2/0051,Reachest Hospital And Maternity,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,52367144,01/02/1/2/2/0052,Rhema Clinic Hospital,,,Private,Secondary,7.35537741,5.07509296,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,52755446,01/02/1/2/2/0053,Romans Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,41222318,01/02/1/2/2/0054,Sacred Heart Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,42693056,01/02/1/2/2/0055,Sancta Maria Hospital,,,Private,Secondary,7.377002835,5.113615394,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,52268360,01/02/1/2/2/0056,Shalom Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Aba River,44982893,01/02/1/2/2/0057,St Anthony Hospital,,,Private,Secondary,7.37867,5.10131,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
